class,image_name,x1,x2,y1,y2
dog,Cat_n_Dog_015.jpg,28,146,18,179
dog,Cat_n_Dog_015.jpg,66,179,28,188
cat,Cat_n_Dog_015.jpg,174,245,61,165
cat,Cat_n_Dog_015.jpg,141,231,56,174
person,Cat_n_Man_001.jpg,14,190,24,190
cat,Cat_n_Man_001.jpg,97,234,48,185
person,Cat_n_Man_002.jpg,151,287,9,179
person,Cat_n_Man_002.jpg,89,240,9,174
person,Cat_n_Man_002.jpg,127,283,4,89
cat,Cat_n_Man_002.jpg,89,141,37,165
person,Cat_n_Man_003.jpg,18,216,13,184
cat,Cat_n_Man_003.jpg,175,258,0,198
person,Cat_n_Man_004.jpg,91,275,20,193
cat,Cat_n_Man_004.jpg,5,152,40,198
person,Cat_n_Man_005.jpg,88,246,19,202
cat,Cat_n_Man_005.jpg,19,157,29,192
person,Cat_n_Man_006.jpg,109,292,0,183
cat,Cat_n_Man_006.jpg,0,158,19,213
cat,Cat_n_Man_006.jpg,14,124,64,178
person,Cat_n_Man_007.jpg,5,123,15,195
person,Cat_n_Man_007.jpg,20,190,30,180
person,Cat_n_Man_007.jpg,128,262,82,174
person,Cat_n_Man_008.jpg,62,197,8,174
person,Cat_n_Man_008.jpg,71,165,4,125
cat,Cat_n_Man_008.jpg,165,219,49,156
bird,Cat_n_Man_008.jpg,277,295,17,31
person,Cat_n_Man_009.jpg,103,207,13,180
person,Cat_n_Man_010.jpg,53,200,24,200
person,Cat_n_Man_010.jpg,63,185,14,112
person,Cat_n_Man_010.jpg,141,248,92,180
person,Cat_n_Women_001.jpg,103,253,18,178
person,Cat_n_Women_001.jpg,89,286,9,117
person,Cat_n_Women_001.jpg,28,220,18,192
person,Cat_n_Women_002.jpg,14,200,39,185
person,Cat_n_Women_002.jpg,121,258,39,175
person,Cat_n_Women_003.jpg,19,200,9,165
cat,Cat_n_Women_003.jpg,126,214,73,156
person,Cat_n_Women_004.jpg,97,234,34,195
person,Cat_n_Women_005.jpg,-6,166,-6,201
cat,Cat_n_Women_005.jpg,35,246,5,206
person,Cat_n_Women_006.jpg,78,258,9,180
person,Cat_n_Women_006.jpg,53,180,0,190
cat,Cat_n_Women_006.jpg,24,117,34,195
person,Cat_n_Women_007.jpg,73,200,14,195
cat,Cat_n_Women_007.jpg,78,180,43,170
person,Cat_n_Women_008.jpg,49,201,19,186
person,Cat_n_Women_008.jpg,117,260,29,181
person,Cat_n_Women_009.jpg,112,263,0,200
person,Cat_n_Women_009.jpg,68,200,9,195
cat,Cat_n_Women_009.jpg,43,146,19,185
person,Cat_n_Women_010.jpg,58,200,9,204
person,Cat_n_Women_010.jpg,43,258,0,151
person,Cat_n_Women_010.jpg,131,243,-5,195
person,Cat_n_Women_011.jpg,76,206,8,197
cat,Cat_n_Women_011.jpg,129,259,67,170
cat,Cat_n_Women_012.jpg,28,178,4,197
person,Cat_n_Women_012.jpg,136,276,0,192
person,Cat_n_Women_013.jpg,29,175,4,190
person,Cat_n_Women_013.jpg,58,165,4,121
person,Cat_n_Women_013.jpg,-10,200,4,112
cat,Cat_n_Women_013.jpg,156,243,19,195
dog,Dog_001.jpg,29,190,19,200
dog,Dog_002.jpg,80,194,18,189
dog,Dog_002.jpg,66,189,9,109
dog,Dog_003.jpg,66,175,0,194
dog,Dog_004.jpg,193,245,70,151
dog,Dog_004.jpg,103,179,66,151
dog,Dog_004.jpg,136,193,70,160
dog,Dog_004.jpg,84,146,75,155
dog,Dog_004.jpg,33,94,80,160
dog,Dog_004.jpg,165,231,61,155
dog,Dog_005.jpg,80,215,4,174
person,Dog_005.jpg,125,286,13,188
person,Dog_006.jpg,151,213,23,156
dog,Dog_007.jpg,66,227,9,180
dog,Dog_008.jpg,107,219,9,175
dog,Dog_009.jpg,52,232,18,175
dog,Dog_010.jpg,87,195,4,195
dog,Dog_011.jpg,96,214,17,166
dog,Dog_012.jpg,14,243,9,180
dog,Dog_013.jpg,135,241,28,168
person,Dog_013.jpg,115,284,24,178
dog,Dog_014.jpg,121,253,34,195
dog,Dog_015.jpg,94,237,26,183
dog,Dog_016.jpg,98,218,30,133
dog,Dog_017.jpg,43,195,9,190
person,Dog_017.jpg,102,278,14,195
dog,Dog_019.jpg,87,227,13,179
dog,Dog_019.jpg,122,271,34,161
person,Dog_019.jpg,166,314,21,161
person,Dog_019.jpg,223,323,17,131
dog,Dog_020.jpg,53,200,4,190
dog,Dog_021.jpg,104,226,21,182
dog,Dog_021.jpg,117,221,17,113
person,Dog_022.jpg,102,258,19,185
dog,Dog_022.jpg,136,253,14,185
dog,Dog_023.jpg,63,200,19,204
person,Dog_023.jpg,43,243,0,214
dog,Dog_024.jpg,112,263,24,165
dog,Dog_025.jpg,60,194,17,185
dog,Dog_026.jpg,21,181,17,155
person,Dog_026.jpg,8,203,8,151
dog,Dog_027.jpg,117,248,39,175
dog,Dog_028.jpg,35,245,20,179
dog,Dog_028.jpg,51,153,15,189
dog,Dog_029.jpg,43,185,9,214
dog,Dog_030.jpg,58,191,24,191
dog,Dog_031.jpg,68,224,24,185
dog,Dog_031.jpg,58,156,-5,190
person,Dog_032.jpg,23,283,23,169
person,Dog_034.jpg,204,234,0,63
dog,Dog_034.jpg,107,175,14,161
dog,Dog_035.jpg,73,186,4,178
dog,Dog_036.jpg,134,226,13,173
dog,Dog_036.jpg,82,221,13,126
dog,Dog_037.jpg,105,203,12,152
dog,Dog_038.jpg,20,172,5,217
dog,Dog_039.jpg,98,219,13,179
person,Dog_040.jpg,67,250,4,174
dog,Dog_041.jpg,103,207,4,162
dog,Dog_041.jpg,103,241,16,99
dog,Dog_042.jpg,112,287,45,158
dog,Dog_042.jpg,124,224,20,162
dog,Dog_043.jpg,36,193,36,166
person,Dog_n_Man_001.jpg,102,239,24,195
person,Dog_n_Man_001.jpg,9,239,14,156
person,Dog_n_Man_002.jpg,117,190,63,170
person,Dog_n_Man_003.jpg,103,232,17,174
dog,Dog_n_Man_003.jpg,147,237,17,174
person,Dog_n_Man_004.jpg,43,190,0,195
dog,Dog_n_Man_004.jpg,121,234,19,185
person,Dog_n_Man_005.jpg,126,283,4,209
person,Dog_n_Man_005.jpg,58,278,48,185
person,Dog_n_Man_006.jpg,121,192,35,167
person,Dog_n_Man_007.jpg,121,204,58,161
person,Dog_n_Man_008.jpg,42,132,33,179
person,Dog_n_Man_008.jpg,28,198,28,169
dog,Dog_n_Man_008.jpg,118,193,37,146
person,Dog_n_Man_009.jpg,73,175,24,190
person,Dog_n_Man_009.jpg,112,248,24,190
dog,Dog_n_Man_010.jpg,119,267,50,175
person,Dog_n_Man_010.jpg,36,175,9,179
dog,Dog_n_Man_011.jpg,40,156,31,152
person,Dog_n_Man_011.jpg,120,318,22,170
person,Dog_n_Man_011.jpg,31,237,8,179
dog,Dog_n_Man_012.jpg,97,229,34,195
dog,Dog_n_Man_012.jpg,19,263,48,180
person,Dog_n_Man_012.jpg,9,170,29,175
person,Dog_n_Man_013.jpg,102,239,24,195
person,Dog_n_Man_013.jpg,9,239,14,156
person,Dog_n_Man_014.jpg,78,253,14,195
person,Dog_n_Man_014.jpg,43,185,0,200
person,Dog_n_Man_014.jpg,58,243,9,117
person,Dog_n_Man_015.jpg,19,190,14,195
person,Dog_n_Man_016.jpg,92,268,9,190
dog,Dog_n_Man_016.jpg,14,117,39,190
person,Dog_n_Man_017.jpg,140,232,29,174
person,Dog_n_Man_017.jpg,155,247,14,131
person,Dog_n_Man_017.jpg,131,223,77,160
person,Dog_n_Man_018.jpg,63,215,14,191
dog,Dog_n_Man_019.jpg,188,293,52,148
dog,Dog_n_Man_019.jpg,17,104,52,153
person,Dog_n_Man_019.jpg,69,218,17,153
person,Dog_n_Man_020.jpg,53,268,48,165
person,Dog_n_Man_021.jpg,15,113,25,196
person,Dog_n_Man_021.jpg,41,165,31,191
dog,Dog_n_Man_021.jpg,129,191,46,181
person,Dog_n_Man_022.jpg,5,140,30,190
person,Dog_n_Man_023.jpg,117,209,19,185
person,Dog_n_Man_023.jpg,68,161,14,190
person,Dog_n_Man_023.jpg,87,195,14,131
dog,Dog_n_Man_023.jpg,63,121,48,175
person,Dog_n_Man_024.jpg,97,253,24,200
person,Dog_n_Man_025.jpg,60,196,20,191
dog,Dog_n_Man_025.jpg,186,241,40,191
person,Dog_n_Man_026.jpg,25,153,0,209
dog,Dog_n_Man_026.jpg,158,225,71,184
person,Dog_n_Woman_001.jpg,84,229,14,183
bottle,Dog_n_Woman_001.jpg,28,42,70,93
bottle,Dog_n_Woman_001.jpg,42,65,32,103
bottle,Dog_n_Woman_001.jpg,23,42,65,107
person,Dog_n_Woman_002.jpg,129,212,13,184
person,Dog_n_Woman_002.jpg,50,138,23,175
person,Dog_n_Woman_003.jpg,149,294,8,184
person,Dog_n_Woman_003.jpg,105,246,8,176
dog,Dog_n_Woman_003.jpg,-5,171,17,167
dog,Dog_n_Woman_004.jpg,136,253,48,180
person,Dog_n_Woman_004.jpg,19,204,19,175
dog,Dog_n_Woman_005.jpg,20,144,31,201
dog,Dog_n_Woman_005.jpg,-6,227,36,186
person,Dog_n_Woman_005.jpg,165,263,5,186
person,Dog_n_Woman_005.jpg,36,289,15,196
dog,Dog_n_Woman_006.jpg,60,222,101,192
person,Dog_n_Woman_006.jpg,146,273,40,207
person,Dog_n_Woman_007.jpg,72,216,20,205
dog,Dog_n_Woman_007.jpg,144,216,92,180
person,Dog_n_Woman_008.jpg,118,262,5,211
dog,Dog_n_Woman_008.jpg,92,252,66,180
person,Dog_n_Woman_009.jpg,123,228,36,168
person,Dog_n_Woman_010.jpg,0,156,34,200
person,Dog_n_Woman_010.jpg,58,195,48,200
person,Dog_n_Woman_010.jpg,39,131,43,180
dog,Dog_n_Woman_011.jpg,53,117,24,180
person,Dog_n_Woman_011.jpg,107,180,48,170
dog,Dog_n_Woman_013.jpg,67,150,63,179
person,Dog_n_Woman_014.jpg,115,230,14,182
person,Dog_n_Woman_014.jpg,38,239,57,163
dog,Dog_n_Woman_015.jpg,39,141,58,195
person,Dog_n_Woman_015.jpg,112,234,24,190
person,Dog_n_Woman_016.jpg,18,176,4,180
dog,Dog_n_Woman_016.jpg,97,255,55,162
dog,Dog_n_Woman_017.jpg,39,156,9,204
person,Dog_n_Woman_017.jpg,131,268,9,209
person,Dog_n_Woman_018.jpg,136,253,50,182
bottle,Dog_n_Woman_018.jpg,35,50,25,55
bottle,Dog_n_Woman_018.jpg,30,45,30,55
person,Dog_n_Woman_019.jpg,53,188,0,174
dog,Dog_n_Woman_019.jpg,116,286,31,165
dog,Dog_n_Woman_020.jpg,180,258,58,190
dog,Dog_n_Woman_020.jpg,107,234,48,195
dog,Dog_n_Woman_020.jpg,68,151,48,195
person,Dog_n_Woman_020.jpg,78,190,24,195
person,Dog_n_Woman_021.jpg,75,267,15,186
person,Dog_n_Woman_022.jpg,68,204,43,185
dog,Dog_n_Woman_023.jpg,53,156,22,183
person,Dog_n_Woman_023.jpg,138,228,13,174
person,Dog_n_Woman_024.jpg,62,197,4,174
dog,Dog_n_Woman_024.jpg,138,223,8,161
person,Dog_n_Woman_025.jpg,146,263,14,185
person,Dog_n_Woman_025.jpg,92,239,4,204
person,Dog_n_Woman_025.jpg,43,156,0,195
